PI	Soil	Sampling_Experiment	sampleID	analysis	Probenummer	Value	characteristic
Selma	Reckenholz2	fresh field soil 2019	42	LBU	8844315	11.33	Fe_H2O_mg.kg
Lisa	Changins1	Leftover from Selmas	10	LBU	8844304	2.343	Fe_H2O_mg.kg
Lisa	Changins1	unconditioned field soil	11	LBU	8844305	2.451	Fe_H2O_mg.kg
Lisa	Changins1	greenhouse exp. conditionging sampled (B73 and bx1 mixed)	12	LBU	8844306	2.925	Fe_H2O_mg.kg
Selma	Aurora	from George Jander	30	LBU	8844310	0.222	Bor_H2O_mg.kg
Selma	Aurora	mixed from genotypes	31	LBU	8844311	0.234	Bor_H2O_mg.kg
Selma	Aurora	BX+ and BX- mixed	32	LBU	8844312	0.231	Bor_H2O_mg.kg
Selma	Reckenholz2	fresh field soil 2019	40	LBU	8844313	0.157	Bor_H2O_mg.kg
Selma	Reckenholz2	fresh field soil 2019	41	LBU	8844314	0.162	Bor_H2O_mg.kg
Selma	Reckenholz2	fresh field soil 2019	42	LBU	8844315	0.169	Bor_H2O_mg.kg
Lisa	Changins1	Leftover from Selmas	10	LBU	8844304	0.128	Bor_H2O_mg.kg
Lisa	Changins1	unconditioned field soil	11	LBU	8844305	0.135	Bor_H2O_mg.kg
Lisa	Changins1	greenhouse exp. conditionging sampled (B73 and bx1 mixed)	12	LBU	8844306	0.125	Bor_H2O_mg.kg
Selma	Aurora	from George Jander	30	LBU	8844310	53	P_EDTA_mg.kg
Selma	Aurora	mixed from genotypes	31	LBU	8844311	57.9	P_EDTA_mg.kg
Selma	Aurora	BX+ and BX- mixed	32	LBU	8844312	51	P_EDTA_mg.kg
Selma	Reckenholz2	fresh field soil 2019	40	LBU	8844313	61.1	P_EDTA_mg.kg
Selma	Reckenholz2	fresh field soil 2019	41	LBU	8844314	66.4	P_EDTA_mg.kg
Selma	Reckenholz2	fresh field soil 2019	42	LBU	8844315	62	P_EDTA_mg.kg
Lisa	Changins1	Leftover from Selmas	10	LBU	8844304	62.7	P_EDTA_mg.kg
Lisa	Changins1	unconditioned field soil	11	LBU	8844305	69.7	P_EDTA_mg.kg
Lisa	Changins1	greenhouse exp. conditionging sampled (B73 and bx1 mixed)	12	LBU	8844306	61.5	P_EDTA_mg.kg
Selma	Aurora	from George Jander	30	LBU	8844310	73.3	K_EDTA_mg.kg
Selma	Aurora	mixed from genotypes	31	LBU	8844311	74.3	K_EDTA_mg.kg
Selma	Aurora	BX+ and BX- mixed	32	LBU	8844312	78.8	K_EDTA_mg.kg
Selma	Reckenholz2	fresh field soil 2019	40	LBU	8844313	184.1	K_EDTA_mg.kg
Selma	Reckenholz2	fresh field soil 2019	41	LBU	8844314	184.8	K_EDTA_mg.kg
Selma	Reckenholz2	fresh field soil 2019	42	LBU	8844315	187.5	K_EDTA_mg.kg
Lisa	Changins1	Leftover from Selmas	10	LBU	8844304	203.4	K_EDTA_mg.kg
Lisa	Changins1	unconditioned field soil	11	LBU	8844305	223.5	K_EDTA_mg.kg
Lisa	Changins1	greenhouse exp. conditionging sampled (B73 and bx1 mixed)	12	LBU	8844306	205.7	K_EDTA_mg.kg
Selma	Aurora	from George Jander	30	LBU	8844310	419.7	Mg_EDTA_mg.kg
Selma	Aurora	mixed from genotypes	31	LBU	8844311	422.5	Mg_EDTA_mg.kg
Selma	Aurora	BX+ and BX- mixed	32	LBU	8844312	404	Mg_EDTA_mg.kg
Selma	Reckenholz2	fresh field soil 2019	40	LBU	8844313	506.6	Mg_EDTA_mg.kg
Selma	Reckenholz2	fresh field soil 2019	41	LBU	8844314	503.1	Mg_EDTA_mg.kg
Selma	Reckenholz2	fresh field soil 2019	42	LBU	8844315	529.2	Mg_EDTA_mg.kg
Lisa	Changins1	Leftover from Selmas	10	LBU	8844304	182.5	Mg_EDTA_mg.kg
Lisa	Changins1	unconditioned field soil	11	LBU	8844305	163.6	Mg_EDTA_mg.kg
Lisa	Changins1	greenhouse exp. conditionging sampled (B73 and bx1 mixed)	12	LBU	8844306	185	Mg_EDTA_mg.kg
Selma	Aurora	from George Jander	30	LBU	8844310	2938	Ca_EDTA_mg.kg
Selma	Aurora	mixed from genotypes	31	LBU	8844311	2997	Ca_EDTA_mg.kg
Selma	Aurora	BX+ and BX- mixed	32	LBU	8844312	2888	Ca_EDTA_mg.kg
Selma	Reckenholz2	fresh field soil 2019	40	LBU	8844313	4526	Ca_EDTA_mg.kg
Selma	Reckenholz2	fresh field soil 2019	41	LBU	8844314	4500	Ca_EDTA_mg.kg
Selma	Reckenholz2	fresh field soil 2019	42	LBU	8844315	4777	Ca_EDTA_mg.kg
Lisa	Changins1	Leftover from Selmas	10	LBU	8844304	8468	Ca_EDTA_mg.kg
Lisa	Changins1	unconditioned field soil	11	LBU	8844305	7229	Ca_EDTA_mg.kg
Lisa	Changins1	greenhouse exp. conditionging sampled (B73 and bx1 mixed)	12	LBU	8844306	7954	Ca_EDTA_mg.kg
Selma	Aurora	from George Jander	30	LBU	8844310	322.7	Mn_EDTA_mg.kg
Selma	Aurora	mixed from genotypes	31	LBU	8844311	332.4	Mn_EDTA_mg.kg
Selma	Aurora	BX+ and BX- mixed	32	LBU	8844312	317.6	Mn_EDTA_mg.kg
Selma	Reckenholz2	fresh field soil 2019	40	LBU	8844313	257.7	Mn_EDTA_mg.kg
Selma	Reckenholz2	fresh field soil 2019	41	LBU	8844314	259.5	Mn_EDTA_mg.kg
Selma	Reckenholz2	fresh field soil 2019	42	LBU	8844315	271.4	Mn_EDTA_mg.kg
Lisa	Changins1	Leftover from Selmas	10	LBU	8844304	228.8	Mn_EDTA_mg.kg
Lisa	Changins1	unconditioned field soil	11	LBU	8844305	242.7	Mn_EDTA_mg.kg
Lisa	Changins1	greenhouse exp. conditionging sampled (B73 and bx1 mixed)	12	LBU	8844306	234.5	Mn_EDTA_mg.kg
Selma	Aurora	from George Jander	30	GIUB	56Fe	25.19	Fe_HNO3_g.kg
Selma	Aurora	mixed from genotypes	31	GIUB	56Fe	27.48	Fe_HNO3_g.kg
